===========================================================
  VALORACIONES DEL SIMULADOR
===========================================================

  Escribe el numero despues de la barra "|". Ejemplo:
Le Havre AC                              | 68
Le Mans FC                               | 67
LOSC Lille                               | 76
OGC Nice                                 | 75
Olympique de Marsella                    | 80
Olympique Lyonnais                       | 81
Paris FC                                 | 73
Paris Saint-Germain                      | 89
RC Estrasburgo                           | 74
RC Lens                                  | 75
Stade Brestois                           | 68
Stade Rennais                            | 74
Toulouse FC                              | 70

-- Francia / Ligue 2  [ligue2]  (18) --
AS Nancy-Lorraine                        | 65
AS Saint-Étienne                         | 69
Clermont Foot                            | 64
Dijon FCO                                | 66
EA Guingamp                              | 65
FC Annecy                                | 62
FC Metz                                  | 67
FC Nantes                                | 68
FC Sochaux                               | 65
Grenoble Foot 38                         | 64
Montpellier HSC                          | 69
Pau FC                                   | 63
Red Star FC                              | 62
Rodez AF                                 | 61
Stade de Reims                           | 68
Stade Lavallois                          | 62
US Boulogne                              | 62
USL Dunkerque                            | 60

-- Países Bajos / Eredivisie  [eredivisie]  (18) --
ADO Den Haag                             | 64
AFC Ajax                                 | 77
AZ Alkmaar                               | 73
Excelsior                                | 63
FC Groningen                             | 68
FC Twente                                | 69
FC Utrecht                               | 67
Feyenoord                                | 76
Fortuna Sittard                          | 62
Go Ahead Eagles                          | 62
NEC Nijmegen                             | 66
PEC Zwolle                               | 62
PSV Eindhoven                            | 78
SC Cambuur                               | 61
SC Heerenveen                            | 67
SC Telstar                               | 62
Sparta Rotterdam                         | 64
Willem II                                | 64

-- Países Bajos / Eerste Divisie  [eredivisie2]  (16) --
Almere City FC                           | 62
De Graafschap                            | 61
FC Den Bosch                             | 60
FC Dordrecht                             | 59
FC Eindhoven                             | 60
FC Emmen                                 | 59
FC Volendam                              | 59
Helmond Sport                            | 54
Heracles Almelo                          | 61
MVV Maastricht                           | 57
NAC Breda                                | 62
RKC Waalwijk                             | 58
Roda JC Kerkrade                         | 60
TOP Oss                                  | 53
Vitesse                                  | 64
VVV-Venlo                                | 59

-- Portugal / Liga Portugal  [portugal]  (18) --
Académico de Viseu                       | 63
Casa Pia AC                              | 64
CD Nacional                              | 64
CD Santa Clara                           | 67
CF Estrela da Amadora                    | 63
Estoril Praia                            | 68
FC Alverca                               | 62
FC Arouca                                | 64
FC Famalicão                             | 65
FC Porto                                 | 79
Gil Vicente FC                           | 67
Marítimo                                 | 65
Moreirense FC                            | 64
Rio Ave FC                               | 65
SC Braga                                 | 74
SL Benfica                               | 80
Sporting CP                              | 79
Vitória SC                               | 69

-- Portugal / Liga Portugal 2  [portugal2]  (15) --
Académica de Coimbra                     | 63
Amarante FC                              | 56
AVS                                      | 58
CD Feirense                              | 59
CD Tondela                               | 57
FC Felgueiras                            | 54
FC Penafiel                              | 57
FC Vizela                                | 57
GD Chaves                                | 59
Leixões SC                               | 57
Lusitânia FC                             | 53
Portimonense SC                          | 59
SC Farense                               | 56
SC Torreense                             | 61
União de Leiria                          | 58

-- Bélgica / Belgian Pro League  [belgica]  (18) --
Cercle Brugge                            | 66
Club Brugge                              | 76
KAA Gent                                 | 74
KRC Genk                                 | 75
KV Kortrijk                              | 64
KV Mechelen                              | 65
KVC Westerlo                             | 63
Lommel SK                                | 62
OH Leuven                                | 64
RAAL La Louvière                         | 61
Royal Antwerp FC                         | 73
RSC Anderlecht                           | 74
Sint-Truiden                             | 65
SK Beveren                               | 66
Sporting Charleroi                       | 68
Standard de Lieja                        | 70
SV Zulte Waregem                         | 66
Union Saint-Gilloise                     | 71

-- Turquía / Süper Lig  [turquia]  (18) --
Alanyaspor                               | 69
Amedspor                                 | 62
Basaksehir                               | 71
Besiktas                                 | 75
Çorum FK                                 | 64
Erzurumspor                              | 64
Eyüpspor                                 | 65
Fenerbahce                               | 79
Galatasaray                              | 80
Gaziantep FK                             | 68
Genclerbirligi                           | 67
Göztepe                                  | 69
Kasimpasa                                | 69
Kocaelispor                              | 65
Konyaspor                                | 67
Rizespor                                 | 67
Samsunspor                               | 68
Trabzonspor                              | 73

-- Chequia / Chance Liga  [chequia]  (16) --
Baník Ostrava                            | 62
Bohemians 1905                           | 60
Dukla Praga                              | 63
Hradec Králové                           | 62
Jablonec                                 | 63
Mladá Boleslav                           | 62
Pardubice                                | 61
Sigma Olomouc                            | 63
Slavia Praga                             | 72
Slovácko                                 | 61
Slovan Liberec                           | 64
Sparta Praga                             | 69
Teplice                                  | 62
Viktoria Plzeň                           | 68
Zbrojovka Brno                           | 61
Zlín                                     | 61

-- Grecia / Super League Grecia  [grecia]  (14) --
AEK Atenas                               | 68
Aris Salónica                            | 64
Asteras Tripolis                         | 64
Atromitos                                | 63
Iraklis                                  | 61
Kalamata                                 | 58
Kifisia                                  | 59
Levadiakos                               | 61
OFI Creta                                | 64
Olympiacos                               | 76
Panathinaikos                            | 73
Panetolikos                              | 63
PAOK                                     | 72
Volos NFC                                | 59

-- Noruega / Eliteserien  [noruega]  (16) --
Aalesunds FK                             | 57
FK Bodø/Glimt                            | 72
Fredrikstad FK                           | 61
Hamarkameratene                          | 56
IK Start                                 | 58
KFUM Oslo                                | 54
Kristiansund BK                          | 60
Lillestrøm SK                            | 66
Molde FK                                 | 67
Rosenborg BK                             | 67
Sandefjord Fotball                       | 58
Sarpsborg 08                             | 63
SK Brann                                 | 64
Tromsø IL                                | 64
Vålerenga Fotball                        | 62
Viking FK                                | 69

-- Dinamarca / Superligaen  [dinamarca]  (12) --
AC Horsens                               | 59
AGF Aarhus                               | 63
Brøndby IF                               | 64
FC Copenhague                            | 73
FC Midtjylland                           | 69
FC Nordsjælland                          | 67
Lyngby BK                                | 63
Odense Boldklub                          | 64
Randers FC                               | 62
Silkeborg IF                             | 60
SønderjyskE                              | 61
Viborg FF                                | 61

-- Austria / Österreichische Bundesliga  [austria]  (12) --
Austria Lustenau                         | 59
FC Red Bull Salzburg                     | 75
FK Austria Viena                         | 64
Grazer AK                                | 62
LASK                                     | 70
SCR Altach                               | 61
SK Rapid Viena                           | 67
SK Sturm Graz                            | 68
SV Ried                                  | 61
TSV Hartberg                             | 58
Wolfsberger AC                           | 63
WSG Tirol                                | 61

-- Suiza / Swiss Super League  [suiza]  (12) --
BSC Young Boys                           | 69
FC Aarau                                 | 58
FC Basilea                               | 70
FC Lausanne-Sport                        | 61
FC Lugano                                | 64
FC Luzern                                | 64
FC Sion                                  | 63
FC St. Gallen                            | 64
FC Thun                                  | 64
FC Zúrich                                | 63
Grasshopper Club                         | 63
Servette FC                              | 64

-- Polonia / Ekstraklasa  [polonia]  (18) --
Cracovia                                 | 63
GKS Katowice                             | 62
Górnik Zabrze                            | 64
Jagiellonia Bialystok                    | 68
Korona Kielce                            | 64
Lech Poznan                              | 67
Legia Warszawa                           | 65
Motor Lublin                             | 58
Piast Gliwice                            | 63
Pogon Szczecin                           | 63
Radomiak Radom                           | 61
Rakow Czestochowa                        | 62
Śląsk Wrocław                            | 66
Widzew Lodz                              | 59
Wieczysta Kraków                         | 57
Wisła Kraków                             | 64
Wisla Plock                              | 61
Zaglebie Lubin                           | 62

-- Escocia / Scottish Premiership  [escocia]  (12) --
Aberdeen                                 | 66
Celtic                                   | 75
Dundee FC                                | 62
Dundee United                            | 64
Falkirk                                  | 59
Heart of Midlothian                      | 68
Hibernian                                | 64
Kilmarnock                               | 63
Motherwell                               | 65
Rangers                                  | 76
St Johnstone                             | 62
St Mirren                                | 60

-- Israel / Liga Premier de Israel  [israel]  (14) --
Beitar Jerusalén                         | 61
Bnei Sakhnin                             | 56
Hapoel Beer Sheva                        | 63
Hapoel Haifa                             | 62
Hapoel Jerusalén                         | 60
Hapoel Kiryat Shmona                     | 57
Hapoel Petah Tikva                       | 56
Hapoel Ramat Gan                         | 54
Hapoel Tel Aviv                          | 67
Ironi Tiberias                           | 53
Maccabi Haifa                            | 69
Maccabi Netanya                          | 62
Maccabi Petah Tikva                      | 58
Maccabi Tel Aviv                         | 68

-- Ucrania / Premier League de Ucrania  [ucrania]  (16) --
Dynamo Kyiv                              | 73
Epicentr                                 | 54
FC Oleksandriya                          | 64
Karpaty Lviv                             | 63
Kolos Kovalivka                          | 61
Kryvbas                                  | 59
Kudrivka                                 | 56
LNZ Cherkasy                             | 55
Metalist 1925                            | 60
Obolon Kyiv                              | 57
Polissya Zhytomyr                        | 59
Poltava                                  | 61
Rukh Lviv                                | 64
Shakhtar Donetsk                         | 75
Veres Rivne                              | 60
Zorya Luhansk                            | 67

-- Chipre / Cypriot First Division  [chipre]  (14) --
AEK Larnaca                              | 63
AEL Limassol                             | 62
Anorthosis                               | 59
APOEL                                    | 66
APOEL Aris Limassol                      | 64
Apollon Limassol                         | 67
Doxa Katokopias                          | 58
Karmiotissa                              | 56
Krasava Ypsonas                          | 54
Nea Salamis                              | 55
Olympiakos Nicosia                       | 57
Omonia Aradippou                         | 53
Omonia Nicosia                           | 68
Pafos FC                                 | 64

-- Serbia / Superliga de Serbia  [serbia]  (14) --
Estrella Roja de Belgrado                | 70
FK Cukaricki                             | 63
FK IMT Belgrado                          | 56
FK Mladost Lucani                        | 59
FK Novi Pazar                            | 58
FK Radnicki Nis                          | 56
FK Radnik Surdulica                      | 58
FK Vojvodina                             | 62
FK Zeleznicar Pancevo                    | 54
FK Zemun                                 | 53
Mačva Šabac                              | 53
OFK Beograd                              | 61
Partizan de Belgrado                     | 69
Radnicki 1923                            | 60

-- Suecia / Allsvenskan  [suecia]  (16) --
AIK                                      | 66
BK Häcken                                | 62
Brommapojkarna                           | 63
Degerfors IF                             | 59
Djurgårdens IF                           | 62
GAIS                                     | 58
Halmstads BK                             | 61
Hammarby IF                              | 63
IF Elfsborg                              | 64
IFK Göteborg                             | 67
IK Sirius                                | 58
Kalmar FF                                | 60
Malmö FF                                 | 66
Mjällby AIF                              | 64
Örgryte IS                               | 58
Västerås SK                              | 54

-- Croacia / HNL  [croacia]  (10) --
Dinamo Zagreb                            | 70
Hajduk Split                             | 67
HNK Gorica                               | 58
HNK Rijeka                               | 64
NK Istra 1961                            | 55
NK Lokomotiva                            | 56
NK Osijek                                | 63
NK Rudeš                                 | 53
NK Slaven Belupo                         | 59
NK Varazdin                              | 55

-- Rumanía / SuperLiga  [rumania]  (16) --
CFR Cluj                                 | 63
Corvinul Hunedoara                       | 52
Csíkszereda                              | 53
Dinamo Bucarest                          | 62
Farul Constanța                          | 58
FC Argeș                                 | 57
FC Botoșani                              | 55
FC Voluntari                             | 55
FCSB                                     | 65
Oțelul Galați                            | 59
Petrolul Ploiești                        | 57
Rapid Bucarest                           | 63
Sepsi OSK                                | 56
Universitatea Cluj                       | 59
Universitatea Craiova                    | 58
UTA Arad                                 | 55

-- Hungría / NB I  [hungria]  (12) --
Budapest Honvéd                          | 58
Debreceni VSC                            | 62
Ferencvárosi TC                          | 68
Győri ETO FC                             | 57
Kisvárda FC                              | 58
MTK Budapest                             | 55
Nyíregyháza Spartacus                    | 54
Paksi FC                                 | 57
Puskás Akadémia                          | 63
Újpest FC                                | 64
Vasas SC                                 | 62
Zalaegerszegi TE                         | 57

-- Rusia / Premier Liga de Rusia  [rusia]  (16) --
Akhmat Grozny                            | 63
Baltika                                  | 58
CSKA Moscú                               | 73
Dinamo Moscú                             | 71
Fakel Voronezh                           | 57
Krasnodar                                | 68
Krylia Sovetov                           | 64
Lokomotiv Moscú                          | 72
Orenburg                                 | 58
Pari Nizhny Novgorod                     | 57
Rostov                                   | 63
Rubin Kazán                              | 69
Sochi                                    | 65
Spartak Moscú                            | 76
Ural Yekaterinburg                       | 60
Zenit                                    | 76

###########################################################
#  SUDAMERICA (CONMEBOL)
###########################################################

-- Argentina / Liga Profesional Argentina  [argentina]  (30) --
Aldosivi                                 | 63
Argentinos Juniors                       | 71
Atlético Tucumán                         | 67
Banfield                                 | 65
Barracas Central                         | 66
Belgrano                                 | 69
Boca Juniors                             | 76
Central Córdoba                          | 66
Defensa y Justicia                       | 67
Deportivo Riestra                        | 64
Estudiantes de La Plata                  | 73
Estudiantes de Río Cuarto                | 62
Gimnasia de Mendoza                      | 67
Gimnasia La Plata                        | 68
Huracán                                  | 69
Independiente                            | 70
Independiente Rivadavia                  | 68
Instituto                                | 65
Lanús                                    | 71
Newell's Old Boys                        | 66
Platense                                 | 67
Racing Club                              | 73
River Plate                              | 77
Rosario Central                          | 72
San Lorenzo                              | 70
Sarmiento                                | 64
Talleres                                 | 67
Tigre                                    | 67
Unión                                    | 67
Vélez Sarsfield                          | 72

-- Argentina / Primera Nacional  [argentina2]  (36) --
Acassuso                                 | 57
Agropecuario                             | 59
All Boys                                 | 61
Almagro                                  | 58
Almirante Brown                          | 60
Atlanta                                  | 59
Atlético de Rafaela                      | 60
Central Norte                            | 58
Chacarita Juniors                        | 61
Chaco For Ever                           | 57
Ciudad Bolívar                           | 57
Colegiales                               | 58
Colón                                    | 64
Defensores de Belgrano                   | 57
Deportivo Madryn                         | 59
Deportivo Maipú                          | 60
Deportivo Morón                          | 62
Estudiantes de Buenos Aires              | 61
Ferro Carril Oeste                       | 63
Gimnasia de Jujuy                        | 62
Gimnasia y Tiro                          | 60
Godoy Cruz                               | 64
Güemes                                   | 56
Los Andes                                | 57
Midland                                  | 59
Mitre                                    | 57
Nueva Chicago                            | 61
Patronato                                | 60
Quilmes                                  | 63
Racing de Córdoba                        | 58
San Martín de San Juan                   | 60
San Martín de Tucumán                    | 63
San Miguel                               | 57
San Telmo                                | 56
Temperley                                | 59
Tristán Suárez                           | 58

-- Argentina / Primera B Metropolitana  [argentina3]  (22) --
Argentino de Merlo                       | 53
Argentino de Quilmes                     | 56
Brown de Adrogué                         | 55
CADU                                     | 54
Club Atlético Fénix                      | 52
Comunicaciones                           | 55
Deportivo Armenio                        | 55
Deportivo Laferrere                      | 53
Deportivo Merlo                          | 56
Excursionistas                           | 58
Flandria                                 | 56
Liniers                                  | 54
Real Pilar                               | 56
Sacachispas                              | 55
San Martín de Burzaco                    | 55
Sportivo Dock Sud                        | 54
Sportivo Italiano                        | 54
UAI Urquiza                              | 54
Villa Dálmine                            | 57
Villa San Carlos                         | 55
Arsenal de Sarandi                       | 63
Camioneros                               | 60

-- Argentina / Torneo Federal A  [federala]  (33) --
9 de Julio de Rafaela                    | 57
Alvarado                                 | 61
Argentino de Monte Maíz                  | 58
Atenas de Río Cuarto                     | 57
Bartolomé Mitre                          | 56
Boca Unidos                              | 57
Círculo Deportivo                        | 54
Costa Brava                              | 54
Crucero del Norte                        | 58
Deportivo Rincón                         | 57
Douglas Haig                             | 59
El Linqueño                              | 55
Germinal                                 | 54
Gimnasia de Chivilcoy                    | 56
Gimnasia de Concepción del Uruguay       | 59
Guillermo Brown                          | 58
Gutiérrez SC                             | 54
Juventud Antoniana                       | 60
Juventud Unida Universitario             | 58
Kimberley                                | 55
Olimpo                                   | 62
Parque Sur                               | 58
San Martín de Formosa                    | 58
San Martín de Mendoza                    | 57
Santamarina                              | 57
Sarmiento de La Banda                    | 58
Sarmiento de Resistencia                 | 56
Sol de América                           | 54
Sol de Mayo                              | 56
Sportivo Las Parejas                     | 54
Sportivo Belgrano                        | 57
Sportivo Estudiantes                     | 58
Villa Mitre                              | 60

-- Bolivia / División Profesional de Bolivia  [bolivia]  (16) --
ABB                                      | 53
Always Ready                             | 58
Aurora                                   | 56
Blooming                                 | 58
Bolívar                                  | 64
Guabirá                                  | 55
Gualberto Villarroel San José            | 54
Independiente Petrolero                  | 54
Nacional Potosí                          | 57
Oriente Petrolero                        | 57
Real Oruro                               | 53
Real Tomayapo                            | 52
San Antonio Bulo Bulo                    | 56
The Strongest                            | 61
Universitario de Vinto                   | 54
Wilstermann                              | 59

-- Brasil / Brasileirão Série A  [brasileirao]  (20) --
Athletico Paranaense                     | 73
Atlético Mineiro                         | 75
Bahia                                    | 70
Botafogo                                 | 75
Chapecoense                              | 67
Corinthians                              | 77
Coritiba                                 | 68
Cruzeiro                                 | 76
Flamengo                                 | 80
Fluminense                               | 76
Grêmio                                   | 72
Internacional                            | 71
Mirassol                                 | 68
Palmeiras                                | 80
RB Bragantino                            | 70
Remo                                     | 67
Santos                                   | 72
São Paulo                                | 75
Vasco da Gama                            | 71
Vitória                                  | 69

-- Brasil / Brasileirão Série B  [brasileirao2]  (20) --
América-MG                               | 67
Athletic Club-MG                         | 63
Atlético Goianiense                      | 64
Avaí                                     | 65
Botafogo-SP                              | 61
Ceará                                    | 66
CRB                                      | 62
Criciúma                                 | 64
Cuiabá                                   | 67
Fortaleza                                | 69
Goiás                                    | 68
Juventude                                | 64
Londrina                                 | 62
Náutico                                  | 61
Novorizontino                            | 61
Operário Ferroviário                     | 62
Ponte Preta                              | 64
São Bernardo                             | 60
Sport Recife                             | 65
Vila Nova                                | 61

-- Chile / Primera División de Chile  [chile]  (16) --
Audax Italiano                           | 64
Cobresal                                 | 63
Colo-Colo                                | 70
Coquimbo Unido                           | 66
Deportes Concepción                      | 58
Deportes La Serena                       | 59
Deportes Limache                         | 59
Everton de Viña                          | 62
Huachipato                               | 64
Ñublense                                 | 63
O'Higgins                                | 65
Palestino                                | 66
Unión La Calera                          | 61
Universidad Católica                     | 69
Universidad de Chile                     | 69
Universidad de Concepción                | 62

-- Colombia / Liga BetPlay Dimayor  [colombia]  (20) --
Águilas Doradas                          | 60
Alianza FC                               | 61
Alianza Petrolera                        | 61
América de Cali                          | 68
Atlético Bucaramanga                     | 63
Atlético Nacional                        | 70
Boyacá Chicó                             | 59
Deportes Tolima                          | 67
Deportivo Cali                           | 66
Deportivo Pasto                          | 63
Deportivo Pereira                        | 62
Fortaleza CEIF                           | 59
Independiente Medellín                   | 68
Internacional de Bogotá                  | 64
Jaguares de Córdoba                      | 59
Junior de Barranquilla                   | 68
Llaneros                                 | 58
Millonarios                              | 69
Once Caldas                              | 65
Santa Fe                                 | 69

-- Ecuador / LigaPro Ecuador  [ecuador]  (16) --
Aucas                                    | 64
Barcelona SC                             | 68
Delfín                                   | 64
Deportivo Cuenca                         | 63
Emelec                                   | 65
Guayaquil City                           | 62
Independiente del Valle                  | 70
LDU Quito                                | 71
Leones del Norte                         | 58
Libertad FC                              | 59
Macará                                   | 63
Manta FC                                 | 59
Mushuc Runa                              | 60
Orense SC                                | 59
Técnico Universitario                    | 58
Universidad Católica de Quito            | 63

-- Paraguay / División Profesional de Paraguay  [paraguay]  (14) --
2 de Mayo                                | 58
Atlético Tembetary                       | 54
Cerro Porteño                            | 68
General Caballero                        | 57
Guaraní                                  | 64
Libertad                                 | 68
Nacional de Asunción                     | 64
Olimpia                                  | 70
Recoleta                                 | 59
Rubio Ñu                                 | 56
Sportivo Ameliano                        | 56
Sportivo Luqueño                         | 60
Sportivo San Lorenzo                     | 55
Sportivo Trinidense                      | 58

-- Perú / Liga 1 de Perú  [peru]  (18) --
ADT de Tarma                             | 53
Alianza Atlético                         | 56
Alianza Lima                             | 63
Atlético Grau                            | 51
Cienciano                                | 62
Comerciantes Unidos                      | 50
Cusco FC                                 | 60
Deportivo Garcilaso                      | 58
Deportivo Moquegua                       | 51
Juan Pablo II                            | 50
Los Chankas                              | 52
Melgar                                   | 61
Sport Boys                               | 57
Sport Huancayo                           | 56
Sporting Cristal                         | 64
Universitario                            | 64
UTC                                      | 57
UTC Cajamarca                            | 55

-- Uruguay / Primera División de Uruguay  [uruguay]  (16) --
Albion FC                                | 57
Boston River                             | 58
Central Español                          | 59
Cerro                                    | 58
Cerro Largo                              | 60
Danubio                                  | 61
Defensor Sporting                        | 63
Deportivo Maldonado                      | 58
Juventud de Las Piedras                  | 58
Liverpool FC                             | 62
Montevideo City Torque                   | 62
Montevideo Wanderers                     | 61
Nacional                                 | 70
Peñarol                                  | 71
Progreso                                 | 57
Racing de Montevideo                     | 61

-- Venezuela / Liga FUTVE  [venezuela]  (16) --
Academia Puerto Cabello                  | 56
Carabobo FC                              | 58
Caracas FC                               | 61
Deportivo Anzoátegui                     | 53
Deportivo La Guaira                      | 57
Deportivo Táchira                        | 60
Estudiantes de Mérida                    | 57
Metropolitanos FC                        | 56
Mineros de Guayana                       | 54
Monagas SC                               | 56
Portuguesa FC                            | 55
Rayo Zuliano                             | 53
Trujillanos FC                           | 53
UCV FC                                   | 59
Yaracuyanos FC                           | 53
Zamora FC                                | 56

###########################################################
#  NORTEAMERICA Y CARIBE (CONCACAF)
###########################################################

-- Estados Unidos / Major League Soccer  [mls]  (30) --
Atlanta United                           | 68
Austin FC                                | 64
CF Montréal                              | 64
Charlotte FC                             | 64
Chicago Fire                             | 67
Colorado Rapids                          | 65
Columbus Crew                            | 63
D.C. United                              | 66
FC Cincinnati                            | 64
FC Dallas                                | 65
Houston Dynamo                           | 64
Inter Miami                              | 71
LA Galaxy                                | 69
Los Angeles FC                           | 70
Minnesota United                         | 63
Nashville SC                             | 66
New England Revolution                   | 65
New York City FC                         | 68
New York Red Bulls                       | 67
Orlando City                             | 67
Philadelphia Union                       | 66
Portland Timbers                         | 69
Real Salt Lake                           | 64
San Diego FC                             | 63
San Jose Earthquakes                     | 64
Seattle Sounders                         | 70
Sporting Kansas City                     | 66
St. Louis City                           | 63
Toronto FC                               | 65
Vancouver Whitecaps                      | 67

-- México / Liga MX  [ligamx]  (18) --
Atlante                                  | 63
Atlas                                    | 65
Atlético de San Luis                     | 63
Club América                             | 73
Cruz Azul                                | 72
FC Juárez                                | 62
Guadalajara                              | 68
León                                     | 67
