"liga";"equipo";"estado";"archivo"
"Liga Profesional Argentina";"Gimnasia La Plata";"real";"logos/lpf-argentina/gimnasia.png"
"Liga Profesional Argentina";"Godoy Cruz";"real";"logos/b-nacional-arg/godoycruz.png"
"Liga Profesional Argentina";"Huracán";"real";"logos/lpf-argentina/huracan.png"
"Liga Profesional Argentina";"Independiente";"real";"logos/lpf-argentina/independiente.png"
"Liga Profesional Argentina";"Independiente Rivadavia";"real";"logos/lpf-argentina/independienteriv.png"
"Liga Profesional Argentina";"Instituto";"real";"logos/lpf-argentina/instituto.png"
"Liga Profesional Argentina";"Lanús";"real";"logos/lpf-argentina/lanus.png"
"Liga Profesional Argentina";"Newell's Old Boys";"real";"logos/lpf-argentina/newells.png"
"Liga Profesional Argentina";"Platense";"real";"logos/lpf-argentina/platense.png"
"Liga Profesional Argentina";"Racing Club";"real";"logos/lpf-argentina/racing.png"
"Liga Profesional Argentina";"River Plate";"real";"logos/lpf-argentina/river.png"
"Liga Profesional Argentina";"Rosario Central";"real";"logos/lpf-argentina/rosariocentral.png"
"Liga Profesional Argentina";"San Lorenzo";"real";"logos/lpf-argentina/sanlorenzo.png"
"Liga Profesional Argentina";"San Martín de San Juan";"real";"logos/b-nacional-arg/sanmartinsj.png"
"Liga Profesional Argentina";"Sarmiento";"real";"logos/lpf-argentina/sarmiento.png"
"Liga Profesional Argentina";"Talleres";"real";"logos/lpf-argentina/talleres.png"
"Liga Profesional Argentina";"Tigre";"real";"logos/lpf-argentina/tigre.png"
"Liga Profesional Argentina";"Unión";"real";"logos/lpf-argentina/union.png"
"Liga Profesional Argentina";"Vélez Sarsfield";"real";"logos/lpf-argentina/velez.png"
"Brasileirão Série A";"Atlético Mineiro";"real";"logos/brasileirao/atlmineiro.png"
"Brasileirão Série A";"Bahia";"real";"logos/brasileirao/bahia.png"
"Brasileirão Série A";"Botafogo";"real";"logos/brasileirao/botafogo.png"
"Brasileirão Série A";"RB Bragantino";"real";"logos/brasileirao/rbbragantino.png"
"Brasileirão Série A";"Ceará";"real";"logos/brasileirao-b/ceara.png"
"Brasileirão Série A";"Corinthians";"real";"logos/brasileirao/corinthians.png"
"Brasileirão Série A";"Cruzeiro";"real";"logos/brasileirao/cruzeiro.png"
"Brasileirão Série A";"Flamengo";"real";"logos/brasileirao/flamengo.png"
"Brasileirão Série A";"Fluminense";"real";"logos/brasileirao/fluminense.png"
"Brasileirão Série A";"Fortaleza";"real";"logos/brasileirao-b/fortaleza.png"
"Brasileirão Série A";"Grêmio";"real";"logos/brasileirao/gremio.png"
"Brasileirão Série A";"Internacional";"real";"logos/brasileirao/internacional.png"
"Brasileirão Série A";"Juventude";"real";"logos/brasileirao-b/juventude.png"
"Brasileirão Série A";"Mirassol";"real";"logos/brasileirao/mirassol.png"
"Brasileirão Série A";"Palmeiras";"real";"logos/brasileirao/palmeiras.png"
"Brasileirão Série A";"Santos";"real";"logos/brasileirao/santos.png"
"Brasileirão Série A";"São Paulo";"real";"logos/brasileirao/saopaulo.png"
"Brasileirão Série A";"Sport Recife";"real";"logos/brasileirao-b/sportrecife.png"
"Brasileirão Série A";"Vasco da Gama";"real";"logos/brasileirao/vasco.png"
"Brasileirão Série A";"Vitória";"real";"logos/brasileirao/vitoria.png"
"Saudi Pro League";"Al-Ahli";"generado";""
"Saudi Pro League";"Al-Ettifaq";"generado";""
"Saudi Pro League";"Al-Fateh";"generado";""
"Saudi Pro League";"Al-Fayha";"generado";""
"Saudi Pro League";"Al-Hazem";"generado";""
"Saudi Pro League";"Al-Hilal";"generado";""
"Saudi Pro League";"Al-Ittihad";"generado";""
"Saudi Pro League";"Al-Khaleej";"generado";""
"Saudi Pro League";"Al-Kholood";"generado";""
"Saudi Pro League";"Al-Najma";"generado";""
"Saudi Pro League";"Al-Nassr";"generado";""
"Saudi Pro League";"Al-Okhdood";"generado";""
"Saudi Pro League";"Al-Qadsiah";"generado";""
"Saudi Pro League";"Al-Riyadh";"generado";""
"Saudi Pro League";"Al-Shabab";"generado";""
"Saudi Pro League";"Al-Taawoun";"generado";""
"Saudi Pro League";"Damac";"generado";""
"Saudi Pro League";"NEOM SC";"generado";""
"Liga MX";"Club América";"real";"logos/liga-mx/america.png"
"Liga MX";"Atlas";"real";"logos/liga-mx/atlas.png"
"Liga MX";"Atlético de San Luis";"real";"logos/liga-mx/atleticosl.png"
"Liga MX";"Cruz Azul";"real";"logos/liga-mx/cruzazul.png"
"Liga MX";"FC Juárez";"real";"logos/liga-mx/juarez.png"
"Liga MX";"Guadalajara";"real";"logos/liga-mx/guadalajara.png"
"Liga MX";"León";"real";"logos/liga-mx/leon.png"
"Liga MX";"Mazatlán";"generado";""
"Liga MX";"Monterrey";"real";"logos/liga-mx/monterrey.png"
"Liga MX";"Necaxa";"real";"logos/liga-mx/necaxa.png"
"Liga MX";"Pachuca";"real";"logos/liga-mx/pachuca.png"
"Liga MX";"Puebla";"real";"logos/liga-mx/puebla.png"
"Liga MX";"Pumas UNAM";"real";"logos/liga-mx/pumas.png"
"Liga MX";"Querétaro";"real";"logos/liga-mx/queretaro.png"
"Liga MX";"Santos Laguna";"real";"logos/liga-mx/santos.png"
"Liga MX";"Tigres UANL";"real";"logos/liga-mx/tigres.png"
"Liga MX";"Tijuana";"real";"logos/liga-mx/tijuana.png"
"Liga MX";"Toluca";"real";"logos/liga-mx/toluca.png"
"Major League Soccer";"Atlanta United";"real";"logos/MLS/atlanta.png"
"Major League Soccer";"Austin FC";"real";"logos/MLS/austin.png"
"Major League Soccer";"Charlotte FC";"real";"logos/MLS/charlotte.png"
"Major League Soccer";"Chicago Fire";"real";"logos/MLS/chicago.png"
"Major League Soccer";"Colorado Rapids";"real";"logos/MLS/colorado.png"
"Major League Soccer";"Columbus Crew";"real";"logos/MLS/columbus.png"
"Major League Soccer";"D.C. United";"real";"logos/MLS/dcunited.png"
"Major League Soccer";"FC Cincinnati";"real";"logos/MLS/cincinnati.png"
"Major League Soccer";"FC Dallas";"real";"logos/MLS/dallas.png"
"Major League Soccer";"Houston Dynamo";"real";"logos/MLS/houstondynamo.png"
"Major League Soccer";"Inter Miami";"real";"logos/MLS/intermiami.png"
"Major League Soccer";"LA Galaxy";"real";"logos/MLS/losangelesgalaxy.png"
"Major League Soccer";"Los Angeles FC";"real";"logos/MLS/losangeles.png"
"Major League Soccer";"Minnesota United";"real";"logos/MLS/minnesota.png"
"Major League Soccer";"CF Montréal";"real";"logos/MLS/montreal.png"
"Major League Soccer";"Nashville SC";"real";"logos/MLS/nashville.png"
"Major League Soccer";"New England Revolution";"real";"logos/MLS/newengland.png"
"Major League Soccer";"New York City FC";"real";"logos/MLS/newyorkcity.png"
"Major League Soccer";"New York Red Bulls";"real";"logos/MLS/newyork.png"
"Major League Soccer";"Orlando City";"real";"logos/MLS/orlandocity.png"
"Major League Soccer";"Philadelphia Union";"real";"logos/MLS/philadelphia.png"
"Major League Soccer";"Portland Timbers";"real";"logos/MLS/portland.png"
"Major League Soccer";"Real Salt Lake";"real";"logos/MLS/realstaltlake.png"
"Major League Soccer";"San Diego FC";"real";"logos/MLS/sandiego.png"
"Major League Soccer";"San Jose Earthquakes";"real";"logos/MLS/sanjose.png"
"Major League Soccer";"Seattle Sounders";"real";"logos/MLS/seattle.png"
"Major League Soccer";"Sporting Kansas City";"real";"logos/MLS/kansascity.png"
"Major League Soccer";"St. Louis City";"real";"logos/MLS/st_louis_city.png"
"Major League Soccer";"Toronto FC";"real";"logos/MLS/toronto.png"
"Major League Soccer";"Vancouver Whitecaps";"real";"logos/MLS/vancouver.png"
"EFL Championship";"Birmingham City";"real";"logos/efl championship/birmingham.png"
"EFL Championship";"Blackburn Rovers";"real";"logos/efl championship/blackburn_rovers.png"
"EFL Championship";"Bristol City";"real";"logos/efl championship/bristol.png"
"EFL Championship";"Charlton Athletic";"real";"logos/efl championship/charlton_athletic.png"
"EFL Championship";"Coventry City";"real";"logos/premier-league/coventry.png"
"EFL Championship";"Derby County";"real";"logos/efl championship/derby_county.png"
"EFL Championship";"Hull City";"real";"logos/premier-league/hull_city.png"
"EFL Championship";"Ipswich Town";"real";"logos/premier-league/ipswich_townÔÇï.png"
"EFL Championship";"Leicester City";"generado";""
"EFL Championship";"Middlesbrough";"real";"logos/efl championship/middlesbrough.png"
"EFL Championship";"Millwall";"real";"logos/efl championship/millwall.png"
"EFL Championship";"Norwich City";"real";"logos/efl championship/norwich.png"
"EFL Championship";"Oxford United";"generado";""
"EFL Championship";"Portsmouth";"real";"logos/efl championship/portsmouth.png"
"EFL Championship";"Preston North End";"real";"logos/efl championship/preston.png"
"EFL Championship";"Queens Park Rangers";"real";"logos/efl championship/queens_park.png"
"EFL Championship";"Sheffield United";"real";"logos/efl championship/sheffield.png"
"EFL Championship";"Sheffield Wednesday";"generado";""
"EFL Championship";"Southampton";"real";"logos/efl championship/southampton.png"
"EFL Championship";"Stoke City";"real";"logos/efl championship/stoke_city.png"
"EFL Championship";"Swansea City";"real";"logos/efl championship/swansea_city.png"
"EFL Championship";"Watford";"real";"logos/efl championship/watford.png"
"EFL Championship";"West Bromwich Albion";"real";"logos/efl championship/westbrownwichalbion.png"
"EFL Championship";"Wrexham";"real";"logos/efl championship/wrexham.png"
"LaLiga Hypermotion";"Albacete";"real";"logos/la-liga2/albacete.png"
"LaLiga Hypermotion";"UD Almería";"real";"logos/la-liga2/almeria.png"
"LaLiga Hypermotion";"FC Andorra";"real";"logos/la-liga2/andorra.png"
"LaLiga Hypermotion";"Burgos CF";"real";"logos/la-liga2/burgos.png"
"LaLiga Hypermotion";"Cádiz CF";"real";"logos/la-liga2/cadiz.png"
"LaLiga Hypermotion";"CD Castellón";"real";"logos/la-liga2/castellon.png"
"LaLiga Hypermotion";"AD Ceuta";"real";"logos/la-liga2/ceuta.png"
"LaLiga Hypermotion";"Córdoba CF";"real";"logos/la-liga2/cordoba.png"
"LaLiga Hypermotion";"Cultural Leonesa";"real";"logos/liga-pro-ecuador/leones.png"
"LaLiga Hypermotion";"Deportivo de La Coruña";"real";"logos/la-liga/deportivocoruna.png"
"LaLiga Hypermotion";"SD Eibar";"real";"logos/la-liga2/eibar.png"
"LaLiga Hypermotion";"Granada CF";"real";"logos/la-liga2/granada.png"
"LaLiga Hypermotion";"SD Huesca";"generado";""
"LaLiga Hypermotion";"UD Las Palmas";"real";"logos/la-liga2/udlaspalmas.png"
"LaLiga Hypermotion";"CD Leganés";"real";"logos/la-liga2/leganes.png"
"LaLiga Hypermotion";"Málaga CF";"real";"logos/la-liga/malaga.png"
"LaLiga Hypermotion";"CD Mirandés";"real";"logos/b-nacional-arg/los_andes.png"
"LaLiga Hypermotion";"Racing de Santander";"real";"logos/la-liga/racingsantander.png"
"LaLiga Hypermotion";"Real Sociedad B";"real";"logos/la-liga2/realsociedad.png"
"LaLiga Hypermotion";"Sporting de Gijón";"real";"logos/la-liga2/sporting.png"
"LaLiga Hypermotion";"Real Valladolid";"real";"logos/la-liga2/valladolid.png"
"LaLiga Hypermotion";"Real Zaragoza";"generado";""
"Serie B";"Avellino";"real";"logos/serie b/avellino.png"
"Serie B";"Bari";"generado";""
"Serie B";"Carrarese";"real";"logos/serie b/carrarese.png"
"Serie B";"Catanzaro";"real";"logos/serie b/catanzaro.png"
"Serie B";"Cesena";"real";"logos/serie b/cesena.png"
"Serie B";"Empoli";"real";"logos/serie b/empoli.png"
"Serie B";"Virtus Entella";"real";"logos/serie b/virtus_entella.png"
"Serie B";"Frosinone";"real";"logos/serie a/frosinone.png"
"Serie B";"Juve Stabia";"real";"logos/serie b/juve_stabia.png"
"Serie B";"Mantova";"real";"logos/serie b/mantova.png"
"Serie B";"Modena";"real";"logos/serie b/modena.png"
"Serie B";"Monza";"real";"logos/serie a/monza.png"
"Serie B";"Padova";"real";"logos/serie b/padova.png"
"Serie B";"Palermo";"real";"logos/serie b/palermo.png"
"Serie B";"Pescara";"generado";""
"Serie B";"Reggiana";"generado";""
"Serie B";"Sampdoria";"real";"logos/serie b/sampdoria.png"
"Serie B";"Spezia";"generado";""
"Serie B";"Südtirol";"real";"logos/serie b/sudtirol.png"
"Serie B";"Venezia";"real";"logos/serie a/venezia.png"
"2. Bundesliga";"Arminia Bielefeld";"real";"logos/bundesliga.2/germany_arminia-bielefeld_128x128.football-logos.cc.png"
"2. Bundesliga";"VfL Bochum";"real";"logos/bundesliga.2/germany_vfl-bochum_128x128.football-logos.cc.png"
"2. Bundesliga";"Eintracht Braunschweig";"real";"logos/bundesliga.2/germany_eintracht-braunschweig_128x128.football-logos.cc.png"
"2. Bundesliga";"SV Darmstadt 98";"real";"logos/bundesliga.2/germany_darmstadt_128x128.football-logos.cc.png"
"2. Bundesliga";"Dynamo Dresden";"real";"logos/bundesliga.2/germany_dynamo-dresden_128x128.football-logos.cc.png"
"2. Bundesliga";"Fortuna Düsseldorf";"generado";""
"2. Bundesliga";"SV Elversberg";"real";"logos/bundesliga/elversberg.png"
"2. Bundesliga";"Greuther Fürth";"real";"logos/bundesliga.2/germany_spvgg-greuther-furth_128x128.football-logos.cc.png"
"2. Bundesliga";"Hannover 96";"real";"logos/bundesliga.2/germany_hannover-96_128x128.football-logos.cc.png"
"2. Bundesliga";"Hertha BSC";"real";"logos/bundesliga.2/germany_hertha-bsc_128x128.football-logos.cc.png"
"2. Bundesliga";"Holstein Kiel";"real";"logos/bundesliga.2/germany_holstein-kiel_128x128.football-logos.cc.png"
"2. Bundesliga";"1. FC Kaiserslautern";"real";"logos/bundesliga.2/germany_fc-kaiserslautern_128x128.football-logos.cc.png"
"2. Bundesliga";"Karlsruher SC";"real";"logos/bundesliga.2/germany_karlsruher_128x128.football-logos.cc.png"
"2. Bundesliga";"1. FC Magdeburg";"real";"logos/bundesliga.2/germany_1-fc-magdeburg_128x128.football-logos.cc.png"
"2. Bundesliga";"1. FC Nürnberg";"real";"logos/bundesliga.2/germany_fc-nurnberg_128x128.football-logos.cc.png"
"2. Bundesliga";"SC Paderborn 07";"real";"logos/bundesliga/paderborn07.png"
"2. Bundesliga";"Preußen Münster";"generado";""
"2. Bundesliga";"FC Schalke 04";"real";"logos/bundesliga/schalke04.png"
"Ligue 2";"Amiens SC";"generado";""
"Ligue 2";"FC Annecy";"real";"logos/ligue-2/france_annecy_128x128.football-logos.cc.png"
"Ligue 2";"SC Bastia";"generado";""
"Ligue 2";"US Boulogne";"real";"logos/ligue-2/france_boulogne_128x128.football-logos.cc.png"
"Ligue 2";"Clermont Foot";"real";"logos/ligue-2/france_clermont-foot_128x128.football-logos.cc.png"
"Ligue 2";"USL Dunkerque";"real";"logos/ligue-2/france_dunkerque_128x128.football-logos.cc.png"
"Ligue 2";"Grenoble Foot 38";"real";"logos/ligue-2/france_grenoble-foot-38_128x128.football-logos.cc.png"
"Ligue 2";"EA Guingamp";"real";"logos/ligue-2/france_guingamp_128x128.football-logos.cc.png"
"Ligue 2";"Stade Lavallois";"real";"logos/ligue-2/france_stade-lavallois_128x128.football-logos.cc.png"
"Ligue 2";"Le Mans FC";"real";"logos/ligue-1/le_mans.png"
"Ligue 2";"Montpellier HSC";"real";"logos/ligue-2/france_montpellier_128x128.football-logos.cc.png"
"Ligue 2";"AS Nancy-Lorraine";"real";"logos/ligue-2/france_nancy_128x128.football-logos.cc.png"
"Ligue 2";"Pau FC";"real";"logos/ligue-2/france_pau_128x128.football-logos.cc.png"
"Ligue 2";"Red Star FC";"real";"logos/ligue-2/france_red-star-fc_128x128.football-logos.cc.png"
"Ligue 2";"Stade de Reims";"real";"logos/ligue-2/france_stade-de-reims_128x128.football-logos.cc.png"
"Ligue 2";"Rodez AF";"real";"logos/ligue-2/france_rodez-af_128x128.football-logos.cc.png"
"Ligue 2";"AS Saint-Étienne";"real";"logos/ligue-2/france_as-saint-etienne_128x128.football-logos.cc.png"
"Ligue 2";"ES Troyes AC";"real";"logos/ligue-1/troyes.png"
"Primera Nacional";"Agropecuario";"real";"logos/b-nacional-arg/agropecuario.png"
"Primera Nacional";"All Boys";"real";"logos/b-nacional-arg/allboys.png"
"Primera Nacional";"Almirante Brown";"real";"logos/b-nacional-arg/almirante.png"
"Primera Nacional";"Arsenal de Sarandí";"generado";""
"Primera Nacional";"Atlanta";"real";"logos/b-nacional-arg/atlanta.png"
"Primera Nacional";"Chacarita Juniors";"real";"logos/b-nacional-arg/chacarita.png"
"Primera Nacional";"Colón";"real";"logos/b-nacional-arg/colon.png"
"Primera Nacional";"Defensores de Belgrano";"real";"logos/b-nacional-arg/defensores.png"
"Primera Nacional";"Deportivo Madryn";"real";"logos/b-nacional-arg/deportivo_madryn.png"
"Primera Nacional";"Deportivo Maipú";"real";"logos/b-nacional-arg/depmaipu.png"
"Primera Nacional";"Deportivo Morón";"real";"logos/b-nacional-arg/moron.png"
"Primera Nacional";"Estudiantes de Río Cuarto";"real";"logos/b-nacional-arg/estudiantes.png"
"Primera Nacional";"Ferro Carril Oeste";"real";"logos/b-nacional-arg/ferro.png"
"Primera Nacional";"Gimnasia de Jujuy";"real";"logos/b-nacional-arg/gimnasiajujuy.png"
"Primera Nacional";"Gimnasia de Mendoza";"real";"logos/lpf-argentina/gimnasiamendoza.png"
"Primera Nacional";"Nueva Chicago";"real";"logos/b-nacional-arg/nueva_chicago.png"
"Primera Nacional";"Patronato";"real";"logos/b-nacional-arg/patronato.png"
"Primera Nacional";"Quilmes";"real";"logos/b-nacional-arg/quilmes.png"
"Primera Nacional";"San Martín de Tucumán";"real";"logos/b-nacional-arg/sanmartintuc.png"
"Primera Nacional";"Temperley";"real";"logos/b-nacional-arg/temperley.png"
"Brasileirão Série B";"América-MG";"real";"logos/brasileirao-b/america_mineiro.png"
"Brasileirão Série B";"Amazonas";"generado";""
"Brasileirão Série B";"Athletic Club-MG";"real";"logos/brasileirao-b/athletic_club.png"
"Brasileirão Série B";"Athletico Paranaense";"real";"logos/brasileirao/atlparanaense.png"
"Brasileirão Série B";"Atlético Goianiense";"real";"logos/brasileirao-b/atlgoianiense.png"
"Brasileirão Série B";"Avaí";"real";"logos/brasileirao-b/avai.png"
"Brasileirão Série B";"Botafogo-SP";"real";"logos/brasileirao-b/botagofo.png"
"Brasileirão Série B";"Chapecoense";"real";"logos/brasileirao/chapecoense.png"
"Brasileirão Série B";"Coritiba";"real";"logos/brasileirao/coritiba.png"
"Brasileirão Série B";"CRB";"real";"logos/brasileirao-b/crb.png"
"Brasileirão Série B";"Criciúma";"real";"logos/brasileirao-b/criciuma.png"
"Brasileirão Série B";"Cuiabá";"real";"logos/brasileirao-b/cuiaba.png"
"Brasileirão Série B";"Ferroviária";"generado";""
"Brasileirão Série B";"Goiás";"real";"logos/brasileirao-b/goias.png"
"Brasileirão Série B";"Novorizontino";"real";"logos/brasileirao-b/novorizontino.png"
"Brasileirão Série B";"Operário Ferroviário";"real";"logos/brasileirao-b/operario.png"
"Brasileirão Série B";"Paysandu";"generado";""
"Brasileirão Série B";"Remo";"real";"logos/brasileirao/remo.png"
"Brasileirão Série B";"Vila Nova";"real";"logos/brasileirao-b/vila_nova.png"
"Brasileirão Série B";"Volta Redonda";"generado";""
"Primera División de Uruguay";"Boston River";"real";"logos/liga-auf-uruguay/bostonriver.png"
"Primera División de Uruguay";"Cerro";"real";"logos/liga-auf-uruguay/cerro.png"
"Primera División de Uruguay";"Cerro Largo";"real";"logos/liga-auf-uruguay/cerrolargo.png"
"Primera División de Uruguay";"Danubio";"real";"logos/liga-auf-uruguay/danubio.png"
"Primera División de Uruguay";"Defensor Sporting";"real";"logos/liga-auf-uruguay/defensor.png"
"Primera División de Uruguay";"Juventud de Las Piedras";"real";"logos/liga-auf-uruguay/juventud.png"
"Primera División de Uruguay";"Liverpool FC";"real";"logos/liga-auf-uruguay/liverpool.png"
"Primera División de Uruguay";"Miramar Misiones";"generado";""
